ingr,id,cal/g,fat(g),carb(g),protein(g)
seeds,119,5.582,0.492,0.108,0.309
lamb,120,2.941,0.211,0,0.247
pita bread,121,2.75,0.011,0.558,0.088
vegetable oil,122,8.864,1,0,0
deprecated,123,0.905,0.003,0.234,0.011
hominy,124,0.721,0.009,0.143,0.015
mozzarella cheese,125,2.776,0.171,0.032,0.28
chicken breast,126,1.652,0.036,0,0.311
wheat bread,127,2.468,0.033,0.421,0.13
cashews,128,5.534,0.432,0.309,0.178
tortilla chips,129,4.642,0.153,0.737,0.086
broth,130,2.64,0.147,0.185,0.165
mashed potatoes,131,0.907,0.029,0.151,0.017
brownies,132,4.661,0.288,0.498,0.062
yogurt,133,0.589,0.004,0.036,0.1
bagels,134,2.5,0.015,0.49,0.101
sandwiches,135,2.329,0.13,0.179,0.11
frozen yogurt,136,1.633,0.059,0.245,0.041
omelets,137,1.54,0.117,0.006,0.104
edamame,138,1.22,0.051,0.098,0.11
toast,139,3.131,0.042,0.555,0.13
cheddar cheese,140,4.019,0.33,0.013,0.248
salt,141,0,0,0,0
granola,142,4.693,0.204,0.647,0.1
pepperoni,143,4.936,0.438,0,0.231
croutons,144,4.081,0.067,0.723,0.12
pepper,145,0.4,0.002,0.093,0.02
sourdough bread,146,2.889,0.018,0.562,0.119
roast chicken,147,2.237,0.13,0,0.235
flour,148,3.641,0.01,0.76,0.102
feta cheese,149,2.641,0.211,0.042,0.138
black beans,150,1.32,0.005,0.237,0.089
water,151,0,0,0,0
sugar,152,3.88,0,1,0
salmon,153,1.78,0.08,0,0.24
eggplant,154,0.248,0.002,0.059,0.01
waffles,155,2.903,0.143,0.327,0.079
vinaigrette,156,4.655,0.518,0.026,0
cream,157,3.363,0.366,0.027,0.028
turnips,158,0.217,0.001,0.051,0.007
baby carrots,159,0.41,0.002,0.1,0.009
mangos,160,0.606,0.004,0.15,0.008
lentils,161,1.14,0.004,0.2,0.09
honey,162,3.04,0,0.82,0.003
sunflower seeds,163,5.46,0.5,0.15,0.19
lime,164,0.3,0.002,0.105,0.007
dumplings,165,2.3,0.054,0.39,0.062
chilaquiles,166,1.95,0.12,0.12,0.089
fruit salad,167,0.59,0.003,0.15,0.008
quinoa,168,1.2,0.019,0.21,0.044
pizza,169,2.66,0.097,0.33,0.11
pepperoni pizza,170,2.82,0.12,0.32,0.12
tuna,171,1.3,0.006,0,0.29
greek salad,172,1.13,0.094,0.047,0.032
pilaf,173,1.592,0.049,0.256,0.025
cereal,174,3.76,0.067,0.73,0.12
ground turkey,175,2.58,0.17,0,0.25
plate only,176,0,0,0,0
goat cheese,177,2.64,0.21,0,0.19
white wine,178,0.82,0,0.026,0.001
roasted potatoes,179,1.41,0.068,0.18,0.021
sour cream,180,1.98,0.19,0.046,0.024
sweet potato,181,0.76,0,0.18,0.01
grapes,182,0.69,0.002,0.18,0.007
butter,183,7.17,0.81,0.001,0.008
hummus,184,1.66,0.096,0.14,0.079
dates,185,2.82,0.004,0.75,0.025
jalapenos,186,0.29,0.004,0.065,0.009
deprecated,187,0.52,0.002,0.003,0.14
cookies,188,4.92,0.25,0.65,0.051
barley,189,1.23,0.004,0.28,0.023
sun dried tomatoes,190,2.58,0.03,0.56,0.14
deprecated,191,0.3,0.001,0.076,0.006
pork,192,2.38,0.14,0,0.26
beets,193,0.44,0.002,0.1,0.017
deprecated,194,0.93,0.001,0.21,0.025
cherry tomatoes,195,0.18,0.002,0.039,0.009
couscous,196,1.12,0.002,0.23,0.038
cranberries,197,0.46,0.001,0.12,0.005
salsa,198,0.29,0.002,0.066,0.015
flatbread,199,2.75,0.012,0.56,0.091
chicken salad,200,2.27,0.16,0.029,0.17
zucchini,201,0.15,0.004,0.027,0.011
crepes,202,1.65,0.083,0.16,0.059
jams,203,2.78,0.001,0.69,0.004
cream cheese,204,3.5,0.34,0.055,0.062
orange juice,205,0.47,0.001,0.11,0.007
milk,206,0.51,0.019,0.05,0.035
mandarin oranges,207,0.53,0.003,0.13,0.008
soy sauce,208,0.53,0.006,0.049,0.081
chicken apple sausage,209,1.6,0.1,0.03,0.14
spinach (cooked),210,0.23,0,0.04,0.03
kimchi,211,0.3,0.001,0.057,0.016
millet,212,1.19,0.01,0.237,0.035
wheat berry,213,0.91,0.005,0.191,0.042
arugula,214,0.25,0.007,0.037,0.026
rosemary,215,1.31,0.057,0.2,0.029
chard,216,0.19,0.002,0.037,0.018
thyme,217,1.01,0.017,0.24,0.06
oregano,218,2.7,0.04,0.69,0.09
lemon juice,219,0.17,0,0.056,0.004
basil,220,0.24,0,0.02,0.04
tatsoi,221,0.22,0.003,0.039,0.022
cilantro,222,0.228,0.005,0.037,0.022
parsley,223,0.371,0.008,0.064,0.029
bok choy,224,0.13,0.002,0.022,0.015
mustard greens,225,0.27,0.004,0.047,0.029
chive,226,0.3,0.007,0.044,0.033
celery root,227,0.42,0.003,0.092,0.015
chayote squash,228,0.24,0.005,0.051,0.006
pumpkin seeds,229,4.46,0.19,0.54,0.19
pesto,230,5.62,0.549,0.08,0.121
country rice,231,1.5204,0.068,0.316,0.0386
green onions,232,0.32,0.002,0.07,0.018
banana with peel,233,0.556,0.002,0.144,0.007
orange with peel,234,0.294,0.001,0.075,0.006
jicama,235,0.38,0.001,0.09,0.007
nopales,236,0.16,0.001,0.033,0.014
ginger,237,0.8,0.008,0.18,0.018
tomatillo,238,0.32,0.01,0.06,0.01
white beans,239,1.39,0.004,0.251,0.097
chia seeds,240,4.86,0.31,0.42,0.17
greek yogurt,241,0.59,0.004,0.036,0.1
bean seed,242,1.4,0.006,0.24,0.09
balsamic vinegar,243,0.88,0,0.17,0.005
pizza dough,244,2.355,0.047,0.417,0.054
pizza sauce,245,0.29,0.002,0.07,0.013
oil,246,8.864,1,0,0
